jop name,laocation,company name,experience,experience year,skills
Senior Data Engineer - Remote,"Cairo, Egypt ",GetTechForce.com,Manager,3+ Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Python', ' ∑ Java', ' ∑ SQL', 'Big Data', ' ∑ Information Analysis', 'Computer Science']"
Data Governance Manager,"Doha, Qatar ",Foreground Consultancy,Not specified,None,"[' ∑ Analyst/Research', ' ∑ Engineering - Telecom/Technology', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Microsoft Office', 'Data Management', ' ∑ Engineering', ' ∑ Management', ' ∑ SQL']"
Data Warehousing - Oil Gas,"Doha, Qatar ",BD SELECT,Not specified,None,"[' ∑ Logistics/Supply Chain', ' ∑ Engineering - Telecom/Technology', 'Data Warehousing', 'Computer Science', ' ∑ Information Technology (IT)', ' ∑ SQL', ' ∑ Logistics', ' ∑ Warehousing', ' ∑ ETL']"
Data Analyst Specialist,"Riyadh, Saudi Arabia ",Almoosa Specialist Hospital,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Analyst/Research', ' ∑ Microsoft Office', 'Data Entry', ' ∑ Administration', 'Data Analysis', ' ∑ Analysis', 'Computer Science', ' ∑ Information Technology (IT)']"
Data Solution Architect,"Maadi, Cairo, Egypt ",Sceel.io,Experienced,5 - 8 Yrs of Exp,"[' ∑ Customer Service/Support', ' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ Architecture', ' ∑ AWS', ' ∑ Azure', ' ∑ Cloud', ' ∑ Computer Engineering', 'Computer Science', 'Data Modeling']"
Data Management Consultant,"Maadi, Cairo, Egypt ",Sceel.io,Experienced,5 - 7 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Operations/Management', ' ∑ Engineering - Telecom/Technology', ' ∑ Communication', 'Computer Science', 'Data Management', 'Data Modeling', 'Data', ' ∑ ETL', ' ∑ Information Technology (IT)']"
Quality Assurance Executive (data analysis- internal auditing),"Cairo, Egypt ",BayanTech,Not specified,None,"[' ∑ Quality', ' ∑ Engineering - Telecom/Technology', ' ∑ Quality Assurance', ' ∑ Quality Control', ' ∑ Quality', ' ∑ QA', 'Computer Science', ' ∑ Engineering', ' ∑ Information Technology (IT)']"
"Technical Sales Leader - Data&AI, Automation - UAE","Dubai, United Arab Emirates ",Gulf Business Machines PND,Not specified,None,"[' ∑ Sales/Retail', ' ∑ Engineering - Mechanical/Electrical', ' ∑ Sales', ' ∑ Sales Skills', ' ∑ Sales Target', ' ∑ Real Estate', ' ∑ Engineering', ' ∑ Customer Service', ' ∑ Customer Support']"
Principal - Data & Services Business Development,"Dubai, United Arab Emirates ",OA- Mastercard,Not specified,None,"[' ∑ Engineering - Telecom/Technology', ' ∑ Education/Teaching', ' ∑ Education', ' ∑ Teaching', 'Computer Science', ' ∑ Information Technology (IT)', ' ∑ Engineering', ' ∑ Management', ' ∑ Administration']"
Senior Data Architect/Modeler,"New Cairo, Cairo, Egypt ",eT3 - Tomorrow Information Technology,Experienced,3 - 7 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', 'Computer Science', 'Data Modeling', 'data quality', 'Data Warehousing', ' ∑ SQL', ' ∑ Modeling', ' ∑ Erwin', 'data quality management']"
Technology Sales SME Data&AI MEA,"Dubai, United Arab Emirates ",Gulf Business Machines PND,Not specified,None,"[' ∑ Sales/Retail', ' ∑ Engineering - Telecom/Technology', '', ' ∑ information technology (it)', 'computer science', ' ∑ sales', ' ∑ sales skills', ' ∑ software', ' ∑ marketing', ' ∑ ai']"
Snr Data Center Project Engineer,"Dubai, United Arab Emirates ",Amazon Data Services Emirates LLC - Dubai Branch - K71,Not specified,None,"[' ∑ Sales/Retail', ' ∑ Engineering - Telecom/Technology', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Engineering', 'Data Center', ' ∑ EMC', ' ∑ Cisco', ' ∑ IBM']"
"Data Centre Technician - UAE National Only, DCO","Dubai, United Arab Emirates ",ADS Emirates LLC (Dubai South On-Shore Branch),Not specified,None,"[' ∑ IT/Software Development', ' ∑ Engineering - Mechanical/Electrical', ' ∑ engineering', ' ∑ information technology (it)', 'computer science', ' ∑ maintenance', ' ∑ installation', ' ∑ networking', ' ∑ troubleshooting']"
Engineering Data Analyst (Digital Twin),"Riyadh, Saudi Arabia ",KBR Inc.,Not specified,None,"[' ∑ Analyst/Research', ' ∑ Engineering - Telecom/Technology', 'Computer Science', ' ∑ Information Technology (IT)', 'Data Analysis', ' ∑ Analysis', ' ∑ Engineering', ' ∑ SQL', ' ∑ Microsoft Office']"
Manager IT Data Engineering,"Dubai, United Arab Emirates ",Charterhouse Middle East,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Computer Engineering', ' ∑ Engineering', ' ∑ Software Engineering', ' ∑ Software Development', 'Data Management']"
