jop name,laocation,company name,experience,experience year,skills
Monitoring Agent " L 1 ","6th of October, Giza, Egypt ",e-finance,Entry Level,1 - 2 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ Monitoring', ' ∑ Security', ' ∑ Engineering', 'Computer Science', ' ∑ Information Technology (IT)']"
Production Internship,"Ameria, Alexandria, Egypt ",Prometeon Tyres Group ñ Egypt  (Ex-Pirelli Tyres Egypt),Entry Level,0 - 1 Yrs of Exp,"[' ∑ Manufacturing/Production', 'Science', ' ∑ Production']"
Technical Consultant,"Doha, Qatar ",Top Notch Consultancy,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Engineering', ' ∑ SQL', ' ∑ Technical Support', ' ∑ Computer Engineering', ' ∑ C#']"
FICO Consultant - Senior Associate,"Cairo, Egypt ",PwC Cairo,Experienced,3 - 7 Yrs of Exp,"[' ∑ Accounting/Finance', ' ∑ IT/Software Development', '', ' ∑ SAP', ' ∑ FICO', 'Computer Science', ' ∑ Information Technology (IT)']"
Software Quality Control Engineer,"Nasr City, Cairo, Egypt ",Aqarmap.com,Experienced,2 - 4 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Quality', ' ∑ Engineering - Telecom/Technology', ' ∑ QA', ' ∑ QC', ' ∑ Quality Control', ' ∑ Quality Assurance', ' ∑ Software Testing', ' ∑ Test Cases', ' ∑ Selenium']"
Senior Application Expert [Administration],"Doha, Qatar ",Mekdam Holding Group,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ information technology (it)', 'computer science', ' ∑ engineering', ' ∑ software development', ' ∑ microsoft office', ' ∑ sql', ' ∑ javascript']"
Frontend Developer "React","New Cairo, Cairo, Egypt ",Bydotpy,Experienced,2 - 3 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', 'Computer Science', ' ∑ CSS', ' ∑ HTML5', ' ∑ Information Technology (IT)', ' ∑ JavaScript', ' ∑ React', ' ∑ Software Development', ' ∑ CSS3']"
CRM - Solutions Delivery Manager,"Riyadh, Saudi Arabia ",Persistence Recruitment,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Sales/Retail', ' ∑ CRM', ' ∑ Sales', ' ∑ Sales Skills', ' ∑ Customer Service', ' ∑ Customer Support', ' ∑ Sales Target', ' ∑ Customer Care']"
Testing Engineer,"Cairo, Egypt ",DXC.technology,Not specified,None,"[' ∑ Quality', ' ∑ Engineering - Telecom/Technology', 'Computer Science', ' ∑ Information Technology (IT)', ' ∑ Testing', ' ∑ Software Testing', ' ∑ Software Development', ' ∑ Software Engineering', ' ∑ Engineering']"
Principal Software Engineer (Java),"Nasr City, Cairo, Egypt ",BBI-Consultancy,Experienced,8+ Yrs of Exp,"[' ∑ IT/Software Development', 'Computer Science', ' ∑ Java', ' ∑ Information Technology (IT)', ' ∑ J2ee', ' ∑ Design Patterns', ' ∑ Architecture', ' ∑ Software Engineering', ' ∑ Spring', ' ∑ Software Development']"
Program Manager,"Cairo, Egypt ",FlairsTech,Manager,7 - 10 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Project Management', 'Computer Science', ' ∑ Programming', ' ∑ PMP', ' ∑ Software Development', ' ∑ Software', ' ∑ Management', ' ∑ Development', ' ∑ Analysis']"
Microsoft Dynamics 365 Supply chain Functional Consultant,"Sheikh Zayed, Giza, Egypt ",Seoudi Supermarket,Experienced,3 - 5 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Logistics/Supply Chain', ' ∑ Engineering - Telecom/Technology', 'Computer Science', ' ∑ Information Technology (IT)', ' ∑ Logistics', ' ∑ Supply Chain', ' ∑ Warehouse', ' ∑ Warehouse Management', ' ∑ business']"
DevOps Manager,"Cairo, Egypt ",Pro Dev Tech,Manager,7 - 10 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Computer Engineering', 'Computer Science', ' ∑ Cloud', ' ∑ DevOps', ' ∑ Information Technology (IT)', ' ∑ Management', ' ∑ Linux', ' ∑ Oracle', ' ∑ Python']"
Full Stack Team Lead,"Nasr City, Cairo, Egypt ",SATA Group,Experienced,3 - 5 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Sql, Node Js, Angular, .net, postman', 'Computer Science']"
Senior Collections Requirements Manager,"Kuwait City, Kuwait ","Bts, Llc",Not specified,None,"[' ∑ Sales/Retail', ' ∑ Engineering - Telecom/Technology', ' ∑ information technology (it)', 'computer science', ' ∑ engineering', ' ∑ microsoft office', ' ∑ management', ' ∑ software', ' ∑ analysis']"
Field Technician,"Riyadh, Saudi Arabia ",Rawabi Holding,Not specified,None,"[' ∑ Engineering - Telecom/Technology', ' ∑ Engineering - Mechanical/Electrical', ' ∑ engineering', ' ∑ information technology (it)', 'computer science', ' ∑ maintenance', ' ∑ installation', ' ∑ english', ' ∑ troubleshooting']"
Business Analyst,"Cairo, Egypt ",Youxel,Experienced,4+ Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Analyst/Research', ' ∑ Engineering - Telecom/Technology', ' ∑ Business Analysis', ' ∑ Information Technology (IT)', ' ∑ Engineering', ' ∑ Software Development', ' ∑ Software', ' ∑ Software Engineering', 'Computer Science']"
ERP System Analyst,"Nasr City, Cairo, Egypt ",Aqarmap.com,Experienced,1 - 3 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Analyst/Research', ' ∑ Engineering - Telecom/Technology', ' ∑ Analyst', ' ∑ analytical', 'Computer Science', ' ∑ ERP systems', ' ∑ Information Technology (IT)', ' ∑ Software', ' ∑ System Analyst']"
ERPNext Developer,"Maadi, Cairo, Egypt ",Confidential,Experienced,3 - 6 Yrs of Exp,"[' ∑ IT/Software Development', '', ' ∑ APIs', ' ∑ erpnext', ' ∑ Python', ' ∑ HTML', ' ∑ CSS', ' ∑ JavaScript', ' ∑ Web', 'Computer Science']"
Organizational Development Specialist,"Doha, Qatar ",Foreground Consultancy,Not specified,None,"[' ∑ Marketing/PR/Advertising', ' ∑ Sales/Retail', ' ∑ Business Development', ' ∑ Sales', ' ∑ Sales Skills', ' ∑ Sales Target', ' ∑ Marketing', ' ∑ Customer Service', ' ∑ Microsoft Office']"
Metadata Management Lead,"Dubai, United Arab Emirates ",Charterhouse Middle East,Not specified,None,"[' ∑ Operations/Management', ' ∑ Sales/Retail', ' ∑ Sales', ' ∑ Information Technology (IT)', ' ∑ Microsoft Office', ' ∑ Sales Skills', ' ∑ Management', ' ∑ Administration', ' ∑ Engineering']"
Principal Engineer - Information Management,"Dubai, United Arab Emirates ",Petrofac,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Engineering', ' ∑ Telecommunication', ' ∑ Software Engineering', ' ∑ Software Development', ' ∑ Mechatronics']"
"Vendor Consultant, Spanish","Cairo, Egypt ",Amazon MENA,Not specified,None,"[' ∑ Engineering - Telecom/Technology', ' ∑ Engineering - Mechanical/Electrical', ' ∑ engineering', ' ∑ information technology (it)', 'computer science', ' ∑ sales', ' ∑ project management', ' ∑ english', ' ∑ marketing']"
Inventory Analyst,"Abu Dhabi, United Arab Emirates ",Etihad Airways,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Analyst/Research', ' ∑ information technology (it)', ' ∑ analysis', 'computer science', ' ∑ business analysis', ' ∑ supply chain', ' ∑ finance', ' ∑ management']"
Customer Success Manager - Leader,"Riyadh, Saudi Arabia ",Gulf Business Machines PND,Not specified,None,"[' ∑ Operations/Management', ' ∑ Sales/Retail', ' ∑ Customer Service', ' ∑ Customer Care', ' ∑ Customer Support', ' ∑ Management', ' ∑ Sales', ' ∑ Call Center', ' ∑ Sales Skills']"
Product Executive/Specialist - Respiratory Management Unit - Zahrawi Medical,"Dubai, United Arab Emirates ",Qureos,Not specified,None,"[' ∑ Sales/Retail', ' ∑ Pharmaceutical', ' ∑ Sales', ' ∑ Sales Skills', ' ∑ Pharmacy', ' ∑ Medical', 'Science', ' ∑ Sales Target', ' ∑ Outdoor Sales']"
Senior Localization Project Manager (Hybrid),"Cairo, Egypt ",BayanTech,Not specified,None,"[' ∑ Project/Program Management', ' ∑ Engineering - Telecom/Technology', ' ∑ Project Management', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ PMP', ' ∑ Engineering', ' ∑ Localization', ' ∑ Management']"
Laravel Developer,"Sheraton, Cairo, Egypt ",Well.Fit.GO!,Experienced,4 - 6 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ laravel developer', ' ∑ Laravel', 'Computer Science', ' ∑ developer']"
Senior Engineer Electrical,"Riyadh, Saudi Arabia ",AECOM,Not specified,None,"[' ∑ Engineering - Telecom/Technology', ' ∑ Engineering - Mechanical/Electrical', ' ∑ Engineering', ' ∑ Electrical Engineering', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Software Engineering', ' ∑ AutoCAD', ' ∑ Mechanical Engineering']"
Certification Engineer I - Kuwait,"Kuwait City, Kuwait ","Honeywell International, Inc.",Not specified,None,"[' ∑ Engineering - Telecom/Technology', ' ∑ Engineering - Mechanical/Electrical', ' ∑ Engineering', 'Computer Science', ' ∑ Information Technology (IT)', ' ∑ Java', ' ∑ Software Engineering', ' ∑ Python', ' ∑ Technical Support']"
Java Developer - Back End,"Nasr City, Cairo, Egypt ",Ebla,Experienced,5+ Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ Java', ' ∑ javaScript', ' ∑ Information Technology (IT)', ' ∑ Engineering', ' ∑ Software Engineering', ' ∑ Software Development', 'Computer Science', ' ∑ JAVA 6']"
Front-End Developer,"Nasr City, Cairo, Egypt ",Ebla,Experienced,5 - 10 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ Front-End', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Engineering', ' ∑ Software Development', ' ∑ Software Engineering', ' ∑ javaScript', ' ∑ HTML']"
Monitoring Assistant SC,"Cairo, Egypt ",World Food Program - Other locations,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ microsoft office', ' ∑ engineering', ' ∑ administration', ' ∑ information technology (it)', ' ∑ management', ' ∑ english', ' ∑ admin']"
Senior Software Tester (Nasr City),"Nasr City, Cairo, Egypt ",Confidential,Experienced,3+ Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Quality', ' ∑ Engineering - Telecom/Technology', '', ' ∑ Engineering', ' ∑ Project Management', ' ∑ Information Systems', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Computer Engineering', ' ∑ Software']"
Full Stack Developer,"Nasr City, Cairo, Egypt ",3S Software,Experienced,2 - 4 Yrs of Exp,"[' ∑ Installation/Maintenance/Repair', ' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ MySQL', ' ∑ MVC', ' ∑ Information Technology (IT)', ' ∑ JavaScript', ' ∑ HTML5', ' ∑ HTML', ' ∑ API']"
Laravel Developer,"Maadi, Cairo, Egypt ",Kyan Labs,Entry Level,1 - 3 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ Laravel', ' ∑ API', ' ∑ PHP', ' ∑ Information Technology (IT)', ' ∑ Software Engineering', ' ∑ HTML', ' ∑ CSS', ' ∑ JavaScript']"
Product Specialist - Sharkia,"Zagazig, Sharqia, Egypt ",PRT Scientific Office,Entry Level,0 - 5 Yrs of Exp,"[' ∑ Medical/Healthcare', ' ∑ Sales/Retail', ' ∑ Pharmaceutical', ' ∑ Pharmacy', ' ∑ Veterinary', ' ∑ Medicine', ' ∑ Sales', ' ∑ Customer Service', ' ∑ Pharmaceutical', ' ∑ Cosmetics']"
Senior Backend Developer PHP / Laravel,"Maadi, Cairo, Egypt ",Sulfah,Experienced,3 - 5 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ Agile', 'Computer Science', ' ∑ Information Technology (IT)', ' ∑ PHP', ' ∑ Laravel', ' ∑ Software Development', ' ∑ backend']"
IT Help Desk Specialist - Mokattam hospital,"Mokattam, Cairo, Egypt ",Al Ahly Medical Company,Entry Level,1 - 2 Yrs of Exp,"[' ∑ Installation/Maintenance/Repair', ' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', 'Computer Science', ' ∑ Information Systems', ' ∑ Help desk', ' ∑ Installation', ' ∑ Information Technology (IT)', ' ∑ Systems']"
Operations Support Specialist,"Riyadh, Saudi Arabia ",Professional Recruitment,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Operations/Management', ' ∑ Customer Service', ' ∑ Customer Support', ' ∑ Information Technology (IT)', ' ∑ Customer Care', 'Computer Science', ' ∑ Technical Support', ' ∑ Operations']"
Business Development Manager,"Dubai, United Arab Emirates ",Mercer,Not specified,None,"[' ∑ Marketing/PR/Advertising', ' ∑ Sales/Retail', ' ∑ Business Development', ' ∑ Sales', ' ∑ Sales Skills', ' ∑ Sales Target', ' ∑ Marketing', ' ∑ Customer Service', ' ∑ Customer Support']"
Mercer Saudi Arabia Internship Program,"Riyadh, Saudi Arabia ",Mercer,Not specified,None,"[' ∑ Project/Program Management', ' ∑ Engineering - Telecom/Technology', ' ∑ engineering', ' ∑ information technology (it)', 'computer science', ' ∑ management', ' ∑ microsoft office', ' ∑ business development', ' ∑ administration']"
Senior Network Security Engineer,"Riyadh, Saudi Arabia ",Help AG,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Engineering', ' ∑ Networking', ' ∑ CCNP', ' ∑ Cisco', ' ∑ Networks']"
Analyst II - Placement,"Dubai, United Arab Emirates ",Mercer,Not specified,None,"[' ∑ Analyst/Research', ' ∑ Engineering - Telecom/Technology', 'computer science', ' ∑ information technology (it)', ' ∑ sql', ' ∑ iis', ' ∑ business', ' ∑ english']"
Helpdesk Executive,"Dubai, United Arab Emirates ",Mercer,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ information technology (it)', 'computer science', ' ∑ customer support', ' ∑ computer engineering', ' ∑ call center']"
IT Audit Supervisor,"Doha, Qatar ",Foreground Consultancy,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Engineering', ' ∑ Accounting', ' ∑ Auditing', ' ∑ Maintenance', ' ∑ Finance']"
Application Support Manager (Maximo/Kronos),"Dubai, United Arab Emirates ",Farah Experiences LLC,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ SQL', ' ∑ Technical Support', ' ∑ Application Support', ' ∑ Customer Support', ' ∑ Computer Engineering']"
Junior Full Stack .Net Developer,"Nasr City, Cairo, Egypt ",Aliaict,Entry Level,1+ Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ .Net', ' ∑ Angular', ' ∑ ASP.Net', 'Computer Science', ' ∑ CSS', ' ∑ Full Stack', ' ∑ HTML', ' ∑ Information Technology (IT)']"
Junior Project Coordinator (ex Customer Service),"Cairo, Egypt ",BayanTech,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Project/Program Management', '', ' ∑ Project Management', ' ∑ Administration', ' ∑ Microsoft Office', ' ∑ Project Coordination', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Engineering']"
Key Accounts Manager,"Riyadh, Saudi Arabia ",Amazon MENA,Not specified,None,"[' ∑ Customer Service/Support', ' ∑ Sales/Retail', ' ∑ Sales', ' ∑ Sales Skills', ' ∑ Customer Service', ' ∑ Sales Target', ' ∑ Customer Support', ' ∑ Customer Care', ' ∑ Account Management']"
Logistics Manager | Middle East Africa & Asia Pacific Utd.Arab Emir. Dubai,"Dubai, United Arab Emirates ",Doka USA LTD,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Sales/Retail', ' ∑ Sales', ' ∑ Sales Skills', ' ∑ Information Technology (IT)', ' ∑ Indoor Sales', ' ∑ Outdoor Sales', 'Computer Science', ' ∑ Customer Care']"
HR Project Associate (Contract),"Dubai, United Arab Emirates ",Nathan & Nathan,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Project/Program Management', ' ∑ Project Management', ' ∑ Human Resources (HR)', ' ∑ PMP', ' ∑ Information Technology (IT)', ' ∑ Microsoft Office', 'Computer Science', ' ∑ Engineering']"
Specification Manager,"Cairo, Egypt ",Signify Holding,Not specified,None,"[' ∑ Sales/Retail', ' ∑ Engineering - Telecom/Technology', ' ∑ engineering', ' ∑ information technology (it)', 'computer science', ' ∑ sales', ' ∑ purchasing', ' ∑ communication', ' ∑ business']"
Senior Engineer ñ Biomedical,"Doha, Qatar ",Sidra Medicine,Not specified,None,"[' ∑ Engineering - Telecom/Technology', ' ∑ Engineering - Mechanical/Electrical', ' ∑ Engineering', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Software Engineering', ' ∑ Software Development', ' ∑ Computer Engineering', ' ∑ Mechanical Engineering']"
Integration Engineer,"Cairo, Egypt ",Obeikan Digital Solutions,Experienced,3 - 7 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ System Integration', ' ∑ API', ' ∑ Scripting', ' ∑ Linux', ' ∑ Information Technology (IT)', ' ∑ English', ' ∑ Engineering', ' ∑ Networking']"
IT Manager,"6th of October, Giza, Egypt ",Nacita,Manager,10 - 12 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Information Technology (IT)', ' ∑ Manager', ' ∑ IT Manager', 'Computer Science', ' ∑ Project Management', ' ∑ Computer Engineering', ' ∑ IT', ' ∑ Design', ' ∑ SAP']"
Senior Field Support Engineer,"Dubai, United Arab Emirates ",Trapeze,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', 'Computer Science', ' ∑ Information Technology (IT)', ' ∑ Engineering', ' ∑ Customer Support', ' ∑ Customer Service', ' ∑ Customer Care', ' ∑ SQL']"
"Vice President, Business Development - MENA","Dubai, United Arab Emirates ",Rystad Energy,Not specified,None,"[' ∑ Project/Program Management', ' ∑ Engineering - Telecom/Technology', ' ∑ information technology (it)', 'computer science', ' ∑ sales', ' ∑ management', ' ∑ business development', ' ∑ marketing', ' ∑ leadership skills']"
Senior Backend Developer - Part Time,"6th of October, Giza, Egypt ",Zewail City,Experienced,3 - 5 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ .Net', ' ∑ JSON', ' ∑ Programming', ' ∑ SQL', ' ∑ Testing', ' ∑ ASP.Net', ' ∑ APIs', ' ∑ Design']"
Senior Transformation Consultant,"Dubai, United Arab Emirates ",Zurich International Life,Not specified,None,"[' ∑ Sales/Retail', ' ∑ Engineering - Telecom/Technology', ' ∑ Sales', ' ∑ Sales Skills', ' ∑ Real Estate', ' ∑ Sales Target', ' ∑ Information Technology (IT)', ' ∑ Customer Service', 'Computer Science']"
Junior IT Specialist,"Abu Rawash, Giza, Egypt ",Jessour Misr,Entry Level,1 - 2 Yrs of Exp,"[' ∑ Installation/Maintenance/Repair', ' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ Computer Engineering', ' ∑ Information Technology (IT)', ' ∑ Software Engineering', ' ∑ Software Development', ' ∑ PHP', ' ∑ Java', ' ∑ Odoo']"
Document Control Specialist,"Jizan, Saudi Arabia ",Air Products (Middle East) FZE,Not specified,None,"[' ∑ Logistics/Supply Chain', ' ∑ Quality', ' ∑ Administration', ' ∑ Microsoft Office', ' ∑ Quality Control', ' ∑ Document Control', ' ∑ Quality Assurance', ' ∑ Admin', ' ∑ Quality']"
Quality Chemist,"10th of Ramadan City, Cairo, Egypt ",Confidential,Experienced,3 - 5 Yrs of Exp,"[' ∑ R&D/Science', ' ∑ Manufacturing/Production', ' ∑ Quality', ' ∑ Quality Control', 'Science', ' ∑ Chemistry', ' ∑ Communication skills']"
Operations Lead - IoT Service and Call Center,"Dubai, United Arab Emirates ",Parker Connect,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Operations/Management', '', ' ∑ Operations', ' ∑ Customer Care', ' ∑ Customer Service', ' ∑ Management', ' ∑ Customer Support', ' ∑ Microsoft Excel', ' ∑ Microsoft Office']"
.Net React Full-stack Developer,"Cairo, Egypt ",Premier Services and Recruitment,Experienced,1 - 3 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Full-Stack', ' ∑ React', 'Computer Science', ' ∑ developer', ' ∑ NET', ' ∑ JavaScript']"
.NET production Support Engineer (KSA),"Riyadh, Saudi Arabia ",Ejada,Experienced,4 - 6 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ .Net', 'Computer Science']"
Senior Sales - Nutanix Unified Storage (NUS) - Emerging Markets,"Riyadh, Saudi Arabia ",Nutanix,Not specified,None,"[' ∑ Sales/Retail', ' ∑ Engineering - Mechanical/Electrical', ' ∑ Sales', ' ∑ Sales Skills', ' ∑ Sales Target', ' ∑ Customer Service', ' ∑ Customer Support', ' ∑ Real Estate', ' ∑ Customer Care']"
CRM - Solutions Designer,"Riyadh, Saudi Arabia ",Persistence Recruitment,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Sales/Retail', ' ∑ CRM', ' ∑ Sales', ' ∑ Sales Skills', ' ∑ Customer Service', ' ∑ Customer Support', ' ∑ Sales Target', ' ∑ Customer Care']"
Senior Engineer - Offshore Structural,"Dubai, United Arab Emirates ",Petrofac,Not specified,None,"[' ∑ Engineering - Telecom/Technology', ' ∑ Engineering - Mechanical/Electrical', ' ∑ Engineering', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Software Engineering', ' ∑ Software Development', ' ∑ Computer Engineering', ' ∑ Mechanical Engineering']"
Principal Engineer - Offshore Structural,"Dubai, United Arab Emirates ",Petrofac,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Engineering', ' ∑ Telecommunication', ' ∑ Software Engineering', ' ∑ Software Development', ' ∑ Mechatronics']"
Construction Apps - Solutions Delivery Manager,"Riyadh, Saudi Arabia ",Persistence Recruitment,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', 'computer science', ' ∑ information technology (it)', ' ∑ software development', ' ∑ javascript', ' ∑ quality', ' ∑ project management', ' ∑ technology']"
IT Business Analyst - Saudi National Preferred,"Riyadh, Saudi Arabia ",Persistence Recruitment,Not specified,None,"[' ∑ Analyst/Research', ' ∑ Engineering - Telecom/Technology', ' ∑ Business Analysis', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Analysis', ' ∑ Software Development', ' ∑ Software', ' ∑ Computer Engineering']"
Digital Project Manager,"Dubai, United Arab Emirates ",GTECH Information Technology,Not specified,None,"[' ∑ Marketing/PR/Advertising', ' ∑ Project/Program Management', ' ∑ Project Management', ' ∑ Engineering', ' ∑ Marketing', ' ∑ PMP', ' ∑ Information Technology (IT)', ' ∑ Management', ' ∑ Digital Marketing']"
Senior Technical Project Manager,"Nasr City, Cairo, Egypt ",BBI-Consultancy,Experienced,4+ Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Project/Program Management', ' ∑ Agile', 'Computer Science', ' ∑ English', ' ∑ Information Technology (IT)', ' ∑ Project Management', ' ∑ Scrum Master', ' ∑ Project Manager', ' ∑ Scrum']"
Principal Engineer - Civil & Structural,"Dubai, United Arab Emirates ",Petrofac,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Engineering', ' ∑ Telecommunication', ' ∑ Software Engineering', ' ∑ Software Development', ' ∑ Mechatronics']"
Project Engineer,"Riyadh, Saudi Arabia ","Honeywell International, Inc.",Not specified,None,"[' ∑ Project/Program Management', ' ∑ Engineering - Mechanical/Electrical', ' ∑ Project Management', ' ∑ Engineering', ' ∑ Civil Engineering', ' ∑ Construction', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Architecture']"
Specialist BI Developer - Team Lead,"Cairo, Egypt ",Giza Arabia Systems,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Sales/Retail', ' ∑ Business Development', ' ∑ Sales', ' ∑ Sales Skills', ' ∑ Sales Target', ' ∑ Marketing', ' ∑ Information Technology (IT)', ' ∑ Customer Service']"
IT Specialist,"Obour City, Cairo, Egypt ",Confidential,Experienced,3 - 7 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Information Technology (IT)', ' ∑ IT', ' ∑ Security', ' ∑ Networking', ' ∑ Software', 'Computer Science']"
Backend PHP,"Cairo, Egypt ",Obeikan Digital Solutions,Experienced,2 - 7 Yrs of Exp,"[' ∑ IT/Software Development', '', ' ∑ Agile', ' ∑ Angular', ' ∑ APIs', 'Computer Science', ' ∑ CSS', ' ∑ Engineering', ' ∑ HTML', ' ∑ Information Technology (IT)', ' ∑ MySQL']"
Node JS Developer,"New Cairo, Cairo, Egypt ",Obeikan Digital Solutions,Experienced,2 - 5 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Angular', ' ∑ Agile', ' ∑ CSS', ' ∑ Engineering', ' ∑ Information Technology (IT)', ' ∑ JavaScript', ' ∑ OOP', ' ∑ Software Development', ' ∑ MySQL']"
Project Engineering Manager,"Nasr City, Cairo, Egypt ",Confidential,Experienced,7 - 10 Yrs of Exp,"[' ∑ Engineering - Construction/Civil/Architecture', ' ∑ Project/Program Management', ' ∑ Engineering', ' ∑ Management', ' ∑ MS Office', ' ∑ Project Management', ' ∑ Leadership', ' ∑ AutoCAD', 'Computer Science', ' ∑ 3D Designing']"
Student Information System (SIS) Specialist,"6th of October, Giza, Egypt ",Zewail City,Experienced,4 - 5 Yrs of Exp,"[' ∑ Installation/Maintenance/Repair', ' ∑ IT/Software Development', ' ∑ HTML', ' ∑ CSS', ' ∑ SQL', ' ∑ Software', ' ∑ Information Technology (IT)', ' ∑ Information Systems', 'Computer Science', ' ∑ Computer Engineering']"
Frontend Developer,"Cairo, Egypt ",appcorp,Entry Level,2 - 3 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ HTML', ' ∑ Database', ' ∑ CSS', 'Computer Science', ' ∑ CodeIgniter', ' ∑ AJAX', ' ∑ Information Technology (IT)', ' ∑ MySQL']"
Strategic Security - GRC Consultant,"Dubai, United Arab Emirates ",Help AG,Not specified,None,"[' ∑ Sales/Retail', ' ∑ Engineering - Telecom/Technology', ' ∑ information technology (it)', 'computer science', ' ∑ sales', ' ∑ sales skills', ' ∑ management', ' ∑ business development', ' ∑ analysis']"
Associate Project Controls Specialist II,"Riyadh, Saudi Arabia ",Fluor Corporation,Not specified,None,"[' ∑ Project/Program Management', ' ∑ Engineering - Telecom/Technology', ' ∑ information technology (it)', ' ∑ engineering', 'computer science', ' ∑ microsoft office', ' ∑ management', ' ∑ computer skills', ' ∑ software']"
Executive Support Specialist,"Doha, Qatar ",Foreground Consultancy,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ Information Technology (IT)', ' ∑ Customer Support', ' ∑ Customer Service', ' ∑ Customer Care', ' ∑ Technical Support', 'Computer Science', ' ∑ Installation']"
